game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600144,2016-11-13,DEN @ POR,1610612757,t,W,7,4,0.636,240,39,99,0.394,8,29,0.276,26,32,1,14,30,44,21,8,8,7,23,112,1610612743,2016,Regular Season,2016-17,11,36,91,0.396,11,29,0.379,22,29,1,16,43,59,11,4,6,18,25,105,10,7.75
21600609,2017-01-15,HOU @ BKN,1610612751,t,L,8,32,0.2,240,41,93,0.441,15,44,0.341,15,19,1,9,29,38,29,9,5,16,25,112,1610612745,2016,Regular Season,2016-17,40,46,92,0.5,21,44,0.477,24,32,1,13,39,52,30,9,3,13,21,137,43,-14.25
21600330,2016-12-07,GSW @ LAC,1610612746,t,L,16,7,0.696,240,36,92,0.391,8,26,0.308,18,24,1,17,30,47,15,3,2,13,24,98,1610612744,2016,Regular Season,2016-17,23,42,89,0.472,7,31,0.226,24,29,1,12,34,46,32,11,5,10,24,115,22,-4.5
21600423,2016-12-20,CLE @ MIL,1610612749,t,L,13,13,0.5,265,40,87,0.46,7,27,0.259,21,29,1,11,40,51,22,6,6,14,21,108,1610612739,2016,Regular Season,2016-17,26,37,91,0.407,17,40,0.425,23,27,1,9,34,43,19,5,2,10,21,114,26,-3.25
21600945,2017-03-06,BOS @ LAC,1610612746,t,W,38,25,0.603,240,39,73,0.534,9,20,0.45,29,47,1,8,39,47,23,7,5,13,24,116,1610612738,2016,Regular Season,2016-17,63,34,83,0.41,10,35,0.286,24,29,1,7,30,37,22,9,2,11,31,102,64,7.25
21601129,2017-03-31,ORL @ BOS,1610612738,t,W,49,27,0.645,240,38,84,0.452,12,33,0.364,29,34,1,5,40,45,27,6,5,11,18,117,1610612753,2016,Regular Season,2016-17,76,40,98,0.408,12,30,0.4,24,25,1,11,37,48,28,9,4,9,21,116,76,10.25
21600942,2017-03-06,HOU @ SAS,1610612759,t,W,49,13,0.79,240,40,88,0.455,11,28,0.393,21,23,1,9,35,44,24,6,6,9,13,112,1610612745,2016,Regular Season,2016-17,62,41,88,0.466,14,39,0.359,14,17,1,7,36,43,19,3,3,12,20,110,64,3.5
21600422,2016-12-20,ORL @ MIA,1610612748,t,L,9,20,0.31,290,50,108,0.463,12,30,0.4,18,26,1,9,39,48,22,4,6,10,30,130,1610612753,2016,Regular Season,2016-17,29,52,105,0.495,11,22,0.5,21,31,1,6,41,47,24,3,5,11,25,136,30,3.75
21600529,2017-01-04,OKC @ CHA,1610612766,t,W,20,16,0.556,240,37,80,0.463,9,24,0.375,40,49,1,10,33,43,25,8,10,11,21,123,1610612760,2016,Regular Season,2016-17,36,42,96,0.438,9,30,0.3,19,23,1,14,37,51,22,6,3,14,31,112,36,2
21601046,2017-03-20,UTA @ IND,1610612754,t,W,36,34,0.514,240,38,87,0.437,10,20,0.5,21,23,1,10,33,43,21,9,9,7,19,107,1610612762,2016,Regular Season,2016-17,70,40,88,0.455,6,25,0.24,14,20,1,13,36,49,20,5,11,10,17,100,71,-2.75
21600365,2016-12-12,DEN @ DAL,1610612742,t,W,6,18,0.25,240,45,77,0.584,12,26,0.462,10,12,1,8,26,34,22,9,7,9,15,112,1610612743,2016,Regular Season,2016-17,24,35,83,0.422,7,25,0.28,15,18,1,20,23,43,19,6,3,16,15,92,25,-2.5
